===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-06-25 01:02:51
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
122.137.195.203:9901      | 有效频道:2 | 平均: 0.49 Mbps
221.232.196.81:7777       | 有效频道:2 | 平均: 1.13 Mbps
221.232.196.127:7777      | 有效频道:2 | 平均: 4.53 Mbps
139.227.221.97:9901       | 有效频道:2 | 平均: 7.69 Mbps
219.137.202.146:9901      | 有效频道:2 | 平均: 8.29 Mbps
219.137.202.76:9901       | 有效频道:2 | 平均: 2.02 Mbps
219.137.202.191:9901      | 有效频道:2 | 平均:  2.1 Mbps
219.137.202.219:9901      | 有效频道:2 | 平均:  1.5 Mbps
221.15.20.47:9901         | 有效频道:2 | 平均: 7.87 Mbps
125.42.151.43:9901        | 有效频道:1 | 平均: 4.46 Mbps
144.52.161.249:9901       | 有效频道:2 | 平均: 0.26 Mbps
220.187.221.101:85        | 有效频道:2 | 平均: 3.57 Mbps
220.187.222.76:9901       | 有效频道:2 | 平均: 6.36 Mbps
113.65.162.121:9901       | 有效频道:1 | 平均: 2.42 Mbps
183.10.180.220:212        | 有效频道:2 | 平均: 3.01 Mbps
110.241.191.46:808        | 有效频道:1 | 平均: 0.05 Mbps
183.186.253.204:85        | 有效频道:2 | 平均: 2.12 Mbps
113.90.244.247:85         | 有效频道:2 | 平均: 0.33 Mbps
61.185.200.161:9901       | 有效频道:2 | 平均: 1.72 Mbps
180.118.187.197:60001     | 有效频道:2 | 平均: 3.14 Mbps
183.7.17.9:808            | 有效频道:2 | 平均: 0.05 Mbps
101.18.30.210:808         | 有效频道:2 | 平均: 0.92 Mbps
1.197.248.228:85          | 有效频道:1 | 平均: 0.16 Mbps
